0,0.07224,-0.48787,-0.127504,0.860527,0.913369,0.852115,2.56022
0.016667,0.071822,-0.488292,-0.125814,0.860571,0.913443,0.852027,2.56024
0.033333,0.07684,-0.485537,-0.125728,0.861709,0.91313,0.852278,2.560298
0.05,0.071472,-0.488137,-0.12627,0.860622,0.913378,0.851964,2.560214
0.066667,0.071541,-0.488108,-0.125731,0.860712,0.913386,0.852015,2.560292
0.083333,0.073159,-0.487956,-0.122678,0.861102,0.913188,0.852392,2.560543
0.1,0.07188,-0.48862,-0.12583,0.860378,0.913253,0.852004,2.560249
0.116667,0.078757,-0.487206,-0.126806,0.860434,0.913472,0.85245,2.560174
0.133333,0.072919,-0.486138,-0.122378,0.862193,0.913468,0.852459,2.560017
0.15,0.071491,-0.488169,-0.12553,0.86071,0.913364,0.851973,2.560256
0.166667,0.071369,-0.488607,-0.125434,0.860486,0.913032,0.852053,2.560513
0.183333,0.070456,-0.48794,-0.125093,0.860989,0.913394,0.852097,2.560299
0.2,0.079796,-0.486352,-0.12647,0.860871,0.913356,0.852567,2.560273
0.216667,0.070311,-0.488016,-0.124944,0.86098,0.913438,0.852093,2.560131
0.233333,0.068966,-0.487804,-0.118832,0.862073,0.913361,0.85292,2.559801
0.25,0.071612,-0.488166,-0.126124,0.860615,0.913357,0.852048,2.560356
0.266667,0.070749,-0.488685,-0.123287,0.860803,0.913295,0.852089,2.560275
0.283333,0.076225,-0.486424,-0.124762,0.861404,0.913252,0.852388,2.560339
0.3,0.078389,-0.489042,-0.126305,0.8595,0.913429,0.852469,2.56054
0.316667,0.071733,-0.488247,-0.125761,0.860612,0.913342,0.851946,2.560244
0.333333,0.070216,-0.48821,-0.125449,0.860804,0.913443,0.852163,2.560255
0.35,0.075853,-0.486385,-0.123894,0.861584,0.913124,0.852392,2.560218
0.366667,0.070152,-0.489,-0.123681,0.860617,0.913337,0.852057,2.560271
0.383333,0.077614,-0.485967,-0.125735,0.861396,0.913421,0.852423,2.560312
0.4,0.077184,-0.485927,-0.125381,0.861509,0.913348,0.852377,2.560296
0.416667,0.071023,-0.488199,-0.125848,0.860686,0.913402,0.851946,2.560254
0.433333,0.070295,-0.488651,-0.123617,0.860812,0.913408,0.85213,2.560268
0.45,0.076612,-0.488359,-0.122962,0.860533,0.913649,0.852711,2.560528
0.466667,0.076862,-0.48736,-0.123722,0.860968,0.913548,0.852715,2.560389
0.483333,0.077173,-0.485865,-0.125291,0.861558,0.913363,0.852361,2.560246
0.5,0.075809,-0.486765,-0.123723,0.861397,0.913438,0.852485,2.560264
